frame,time_seconds,visibility
1,0.03,No Logo
2,0.07,No Logo
3,0.1,No Logo
4,0.13,No Logo
5,0.17,No Logo
6,0.2,No Logo
7,0.23,No Logo
8,0.27,No Logo
9,0.3,No Logo
10,0.33,No Logo
11,0.37,No Logo
12,0.4,No Logo
13,0.43,No Logo
14,0.47,No Logo
15,0.5,No Logo
16,0.53,No Logo
17,0.57,No Logo
18,0.6,No Logo
19,0.63,No Logo
20,0.67,No Logo
21,0.7,No Logo
22,0.73,No Logo
23,0.77,No Logo
24,0.8,No Logo
25,0.83,No Logo
26,0.87,No Logo
27,0.9,No Logo
28,0.93,No Logo
29,0.97,No Logo
30,1.0,No Logo
31,1.03,No Logo
32,1.07,No Logo
33,1.1,No Logo
34,1.13,No Logo
35,1.17,No Logo
36,1.2,No Logo
37,1.23,No Logo
38,1.27,No Logo
39,1.3,No Logo
40,1.33,No Logo
41,1.37,No Logo
42,1.4,No Logo
43,1.43,No Logo
44,1.47,No Logo
45,1.5,No Logo
46,1.53,No Logo
47,1.57,No Logo
48,1.6,No Logo
49,1.63,No Logo
50,1.67,No Logo
51,1.7,No Logo
52,1.73,No Logo
53,1.77,No Logo
54,1.8,No Logo
55,1.83,No Logo
56,1.87,No Logo
57,1.9,No Logo
58,1.93,No Logo
59,1.97,No Logo
60,2.0,No Logo
61,2.03,No Logo
62,2.07,No Logo
63,2.1,No Logo
64,2.13,No Logo
65,2.17,No Logo
66,2.2,No Logo
67,2.23,No Logo
68,2.27,No Logo
69,2.3,No Logo
70,2.33,No Logo
71,2.37,No Logo
72,2.4,No Logo
73,2.43,No Logo
74,2.47,No Logo
75,2.5,No Logo
76,2.53,No Logo
77,2.57,No Logo
78,2.6,No Logo
79,2.63,No Logo
80,2.67,No Logo
81,2.7,No Logo
82,2.73,No Logo
83,2.77,No Logo
84,2.8,No Logo
85,2.83,No Logo
86,2.87,No Logo
87,2.9,No Logo
88,2.93,No Logo
89,2.97,No Logo
90,3.0,No Logo
91,3.03,No Logo
92,3.07,No Logo
93,3.1,No Logo
94,3.13,No Logo
95,3.17,No Logo
96,3.2,No Logo
97,3.23,No Logo
98,3.27,No Logo
99,3.3,No Logo
100,3.33,No Logo
101,3.37,No Logo
102,3.4,No Logo
103,3.43,No Logo
104,3.47,No Logo
105,3.5,No Logo
106,3.53,No Logo
107,3.57,No Logo
108,3.6,No Logo
109,3.63,No Logo
110,3.67,No Logo
111,3.7,No Logo
112,3.73,No Logo
113,3.77,No Logo
114,3.8,No Logo
115,3.83,No Logo
116,3.87,No Logo
117,3.9,No Logo
118,3.93,No Logo
119,3.97,No Logo
120,4.0,No Logo
121,4.03,No Logo
122,4.07,No Logo
123,4.1,No Logo
124,4.13,No Logo
125,4.17,No Logo
126,4.2,No Logo
127,4.23,No Logo
128,4.27,No Logo
129,4.3,No Logo
130,4.33,No Logo
131,4.37,No Logo
